OID_,OBJECTID,lagoslakei,Shape_Leng,BUFF_DIST,ORIG_FID,Shape_Length,Shape_Area,Area_ha
1,298540,38199,8041.099126549999710,100.000000000000000,0,14655.129284826934963,705357.086227495339699,70.535708622749539
2,298729,223,18080.039016899998387,100.000000000000000,1,33584.560859213823278,1625627.515603680163622,162.562751560368014
3,299135,27717,5347.743210749999889,100.000000000000000,2,9470.638811984426866,447503.603007283643819,44.750360300728367
4,299138,29814,402.818951989000027,100.000000000000000,3,1420.775663609220601,70787.141357558663003,7.078714135755867
5,299311,430,13701.709255499999927,100.000000000000000,4,24019.332514189052745,1165617.194446963956580,116.561719444696394
6,299673,73430,4652.117617019999670,100.000000000000000,5,8903.202950859909834,425263.909610813716426,42.526390961081368
7,299699,51824,1320.991651629999978,100.000000000000000,6,3270.155054559106702,163492.225275583594339,16.349222527558361
8,299874,50749,14730.312693800000488,100.000000000000000,7,28161.441583360730874,1398196.294694517273456,139.819629469451741
9,300428,66295,7390.328037059999588,100.000000000000000,8,12948.863966207774865,608921.046631040517241,60.892104663104050
10,300824,14101,865.855211132000022,100.000000000000000,9,2359.545151825333505,117959.335116926376941,11.795933511692638
11,300830,113774,8474.481769899999563,100.000000000000000,10,13856.971067784470506,666670.055619060294703,66.667005561906024
12,301002,414,13127.028262300000279,100.000000000000000,11,23887.185269161585893,1141913.651886509498581,114.191365188650948
13,301378,133329,3851.225432079999791,100.000000000000000,12,7947.926707428096051,398516.609706986928359,39.851660970698696
14,301381,66287,755.395281778000026,100.000000000000000,13,2132.819624272292458,106644.062807287802570,10.664406280728780
15,302493,15139,1025.825921430000108,100.000000000000000,14,2670.175732329615585,133612.771217987872660,13.361277121798787
