"lagoslakeid","unburned_ha","unburned_low_ha","low_ha","moderate_ha","high_ha","Area_ha","unburned_pct","unburned_low_pct","low_pct","moderate_pct","high_pct"
223,138.4,1.68,13.8,8.6,0.04,162.562751560368,85.1626527181148,1.03344707436016,8.48902953938703,5.29026478541511,0.024605882722861
414,114,0,0,0,0,114.191365188651,100,0,0,0,0
430,100.52,0,0,0,0,116.561719444696,100,0,0,0,0
14101,1.44,0,5,5.24,0.08,11.7959335116926,12.5122230489823,0,42.3874888328574,44.4220882968346,0.678199821325718
15139,7.6,3.04,2.8,0,0,13.3612771217988,56.2916033642316,22.7523160569754,20.9560805787931,0,0
27717,12.6,0.48,22.92,6.92,1.96,44.7503603007284,27.866502564283,1.07261706224114,51.2174647220146,15.4635626473098,4.37985300415134
29814,7.12,0,0,0,0,7.07871413575587,100,0,0,0,0
38199,29.84,2.72,34.16,3.84,0,70.5357086227495,42.2703751120085,3.85620284124108,48.429370976763,5.44405106998741,0
50749,15.56,3.68,104.28,14.44,1.48,139.819629469452,11.4001371123175,2.63196234603384,74.5818025664154,10.3275913795458,1.05850659568752
51824,1.4,1.48,11.8,1.76,0,16.3492225275584,8.00785802108648,9.0524182266484,72.1746858611157,10.7650378911495,0
66287,10.76,0,0,0,0,10.6644062807288,100,0,0,0,0
66295,5.76,2.28,36.16,12.92,3.68,60.892104663104,9.61061322396691,3.74432779522811,59.3837250330915,21.2178575062926,6.04347644142082
73430,7.2,6.6,25.68,3.28,0,42.5263909610814,16.3813359272757,15.5197745466811,60.386031872541,7.71285765350212,0
113774,67.36,0,0,0,0,66.667005561906,100,0,0,0,0
133329,39.72,0,0,0,0,39.8516609706987,100,0,0,0,0
