OID_,LAGOSLAKEI,VALUE_0,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5
1,223,46556800.000000000000000,1252000.000000000000000,4986800.000000000000000,1182000.000000000000000,76400.000000000000000,60400.000000000000000
2,414,15548000.000000000000000,1090800.000000000000000,5620400.000000000000000,645200.000000000000000,3600.000000000000000,0.000000000000000
3,430,17792400.000000000000000,2268000.000000000000000,2226800.000000000000000,80000.000000000000000,15200.000000000000000,2800.000000000000000
4,14101,0.000000000000000,0.000000000000000,32400.000000000000000,25200.000000000000000,800.000000000000000,11600.000000000000000
5,15139,90429600.000000000000000,244000.000000000000000,360400.000000000000000,2800.000000000000000,0.000000000000000,400.000000000000000
6,27717,91600.000000000000000,127600.000000000000000,777200.000000000000000,339200.000000000000000,26800.000000000000000,0.000000000000000
7,29814,8084000.000000000000000,105600.000000000000000,243200.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
8,38199,2929600.000000000000000,1020000.000000000000000,4719600.000000000000000,1568400.000000000000000,188000.000000000000000,76400.000000000000000
9,50749,13414800.000000000000000,5236000.000000000000000,32725600.000000000000000,6922400.000000000000000,241200.000000000000000,238800.000000000000000
10,51824,453600.000000000000000,10800.000000000000000,248800.000000000000000,58000.000000000000000,1200.000000000000000,6000.000000000000000
11,66287,1190000.000000000000000,398400.000000000000000,22000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
12,66295,19937600.000000000000000,1182400.000000000000000,6900400.000000000000000,5544800.000000000000000,706800.000000000000000,0.000000000000000
13,73430,0.000000000000000,109600.000000000000000,747600.000000000000000,55200.000000000000000,0.000000000000000,69600.000000000000000
14,113774,24240800.000000000000000,595200.000000000000000,2262800.000000000000000,271200.000000000000000,6800.000000000000000,0.000000000000000
15,133329,1207600.000000000000000,25200.000000000000000,75200.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
