lagoslakei,ws_zoneid,Shape_Leng,Shape_Area,est_burned_pct
223,223,107221.8168,77242153.15,0.15
259,259,461277.3415,445519339.2,0.03
414,414,45908.81915,23023966.03,0.35
430,430,73582.99879,24688407.2,0.2
14101,14101,2710.014792,77050.21794,1
27717,27717,12849.06804,1396248.455,1
29814,29814,21842.81941,8519476.352,0.1
34992,34992,13452.3156,2816185.166,0.02
38199,38199,40957.83663,10608158.64,0.95
39247,39247,94190.04842,121316625.7,0.1
50749,50749,90460.3627,59071201.43,0.75
51807,51807,15675.75373,4011223.889,1
51824,51824,7040.991363,801862.6024,0.8
51833,51833,9528.744879,1131373.274,0.25
52893,52893,3490.962797,70858.92135,1
61074,61074,15193.51196,4491121.54,0.02
66287,66287,9215.395614,1650522.686,0.33
66295,66295,55651.4424,34432005.56,0.4
73430,73430,12365.90828,1012286.226,1
76583,76583,20438.01285,5765846.616,0.02
97426,97426,50560.7184,30077771.97,0.67
113774,113774,44724.52536,28421514.59,0.15
129114,129114,15919.11552,5880069.681,0.05
133329,133329,14530.94057,1346790.818,0.1
