MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20211207,27075,Lake County,MN,0.00,100.00,100.00,83.18,19.27,0.00,2021-12-07,2021-12-13,1
20211130,27075,Lake County,MN,0.00,100.00,100.00,83.18,19.27,0.00,2021-11-30,2021-12-06,1
20211123,27075,Lake County,MN,0.00,100.00,100.00,83.18,42.64,0.00,2021-11-23,2021-11-29,1
20211116,27075,Lake County,MN,0.00,100.00,100.00,83.18,42.64,0.00,2021-11-16,2021-11-22,1
20211109,27075,Lake County,MN,0.00,100.00,100.00,99.71,69.26,0.00,2021-11-09,2021-11-15,1
20211102,27075,Lake County,MN,0.00,100.00,100.00,99.71,69.26,0.00,2021-11-02,2021-11-08,1
20211026,27075,Lake County,MN,0.00,100.00,100.00,99.71,69.26,0.00,2021-10-26,2021-11-01,1
20211019,27075,Lake County,MN,0.00,100.00,100.00,99.71,69.26,0.00,2021-10-19,2021-10-25,1
20211012,27075,Lake County,MN,0.00,100.00,100.00,99.80,78.83,0.00,2021-10-12,2021-10-18,1
20211005,27075,Lake County,MN,0.00,100.00,100.00,99.80,78.83,0.00,2021-10-05,2021-10-11,1
20210928,27075,Lake County,MN,0.00,100.00,100.00,99.80,78.83,0.00,2021-09-28,2021-10-04,1
20210921,27075,Lake County,MN,0.00,100.00,100.00,99.80,78.83,0.00,2021-09-21,2021-09-27,1
20210914,27075,Lake County,MN,0.00,100.00,100.00,100.00,97.44,0.00,2021-09-14,2021-09-20,1
20210907,27075,Lake County,MN,0.00,100.00,100.00,100.00,99.89,0.00,2021-09-07,2021-09-13,1
20210831,27075,Lake County,MN,0.00,100.00,100.00,100.00,99.89,0.00,2021-08-31,2021-09-06,1
20210824,27075,Lake County,MN,0.00,100.00,100.00,100.00,99.89,0.00,2021-08-24,2021-08-30,1
20210817,27075,Lake County,MN,0.00,100.00,100.00,100.00,47.79,0.00,2021-08-17,2021-08-23,1
20210810,27075,Lake County,MN,0.00,100.00,100.00,88.05,47.79,0.00,2021-08-10,2021-08-16,1
20210803,27075,Lake County,MN,0.00,100.00,100.00,88.05,47.79,0.00,2021-08-03,2021-08-09,1
20210727,27075,Lake County,MN,0.00,100.00,100.00,88.26,0.00,0.00,2021-07-27,2021-08-02,1
20210720,27075,Lake County,MN,0.00,100.00,100.00,88.33,0.00,0.00,2021-07-20,2021-07-26,1
20210713,27075,Lake County,MN,0.00,100.00,100.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210706,27075,Lake County,MN,0.00,100.00,64.82,0.00,0.00,0.00,2021-07-06,2021-07-12,1
20210629,27075,Lake County,MN,0.00,100.00,11.84,0.00,0.00,0.00,2021-06-29,2021-07-05,1
20210622,27075,Lake County,MN,0.00,100.00,0.00,0.00,0.00,0.00,2021-06-22,2021-06-28,1
20210615,27075,Lake County,MN,0.00,100.00,0.00,0.00,0.00,0.00,2021-06-15,2021-06-21,1
20210608,27075,Lake County,MN,0.00,100.00,0.00,0.00,0.00,0.00,2021-06-08,2021-06-14,1
20210601,27075,Lake County,MN,53.82,46.18,0.00,0.00,0.00,0.00,2021-06-01,2021-06-07,1
20210525,27075,Lake County,MN,53.82,46.18,0.00,0.00,0.00,0.00,2021-05-25,2021-05-31,1
20210518,27075,Lake County,MN,100.00,0.00,0.00,0.00,0.00,0.00,2021-05-18,2021-05-24,1
20210511,27075,Lake County,MN,100.00,0.00,0.00,0.00,0.00,0.00,2021-05-11,2021-05-17,1
20210504,27075,Lake County,MN,100.00,0.00,0.00,0.00,0.00,0.00,2021-05-04,2021-05-10,1
20210427,27075,Lake County,MN,100.00,0.00,0.00,0.00,0.00,0.00,2021-04-27,2021-05-03,1
20210420,27075,Lake County,MN,100.00,0.00,0.00,0.00,0.00,0.00,2021-04-20,2021-04-26,1
20210413,27075,Lake County,MN,98.33,1.67,0.00,0.00,0.00,0.00,2021-04-13,2021-04-19,1
20210406,27075,Lake County,MN,0.00,100.00,1.57,0.00,0.00,0.00,2021-04-06,2021-04-12,1
20210330,27075,Lake County,MN,0.00,100.00,1.57,0.00,0.00,0.00,2021-03-30,2021-04-05,1
20210323,27075,Lake County,MN,0.00,100.00,24.22,0.00,0.00,0.00,2021-03-23,2021-03-29,1
20210316,27075,Lake County,MN,0.00,100.00,25.24,0.00,0.00,0.00,2021-03-16,2021-03-22,1
20210309,27075,Lake County,MN,0.00,100.00,27.57,0.00,0.00,0.00,2021-03-09,2021-03-15,1
20210302,27075,Lake County,MN,0.00,100.00,27.57,0.00,0.00,0.00,2021-03-02,2021-03-08,1
20210223,27075,Lake County,MN,0.00,100.00,27.04,0.00,0.00,0.00,2021-02-23,2021-03-01,1
20210216,27075,Lake County,MN,0.00,100.00,27.04,0.00,0.00,0.00,2021-02-16,2021-02-22,1
20210209,27075,Lake County,MN,0.00,100.00,27.04,0.00,0.00,0.00,2021-02-09,2021-02-15,1
20210202,27075,Lake County,MN,0.00,100.00,27.04,0.00,0.00,0.00,2021-02-02,2021-02-08,1
20210126,27075,Lake County,MN,0.00,100.00,27.04,0.00,0.00,0.00,2021-01-26,2021-02-01,1
20210119,27075,Lake County,MN,0.00,100.00,27.04,0.00,0.00,0.00,2021-01-19,2021-01-25,1
20210112,27075,Lake County,MN,0.00,100.00,27.04,0.00,0.00,0.00,2021-01-12,2021-01-18,1
20210105,27075,Lake County,MN,0.00,100.00,18.86,0.00,0.00,0.00,2021-01-05,2021-01-11,1
20201229,27075,Lake County,MN,0.00,100.00,18.86,0.00,0.00,0.00,2020-12-29,2021-01-04,1
20201222,27075,Lake County,MN,0.00,100.00,18.86,0.00,0.00,0.00,2020-12-22,2020-12-28,1
20201215,27075,Lake County,MN,0.00,100.00,18.86,0.00,0.00,0.00,2020-12-15,2020-12-21,1
20201208,27075,Lake County,MN,0.00,100.00,18.86,0.00,0.00,0.00,2020-12-08,2020-12-14,1
20201201,27075,Lake County,MN,0.00,100.00,18.86,0.00,0.00,0.00,2020-12-01,2020-12-07,1
20201124,27075,Lake County,MN,0.00,100.00,18.86,0.00,0.00,0.00,2020-11-24,2020-11-30,1
20201117,27075,Lake County,MN,0.00,100.00,18.86,0.00,0.00,0.00,2020-11-17,2020-11-23,1
20201110,27075,Lake County,MN,0.00,100.00,93.40,0.00,0.00,0.00,2020-11-10,2020-11-16,1
20201103,27075,Lake County,MN,0.00,100.00,93.40,0.00,0.00,0.00,2020-11-03,2020-11-09,1
20201027,27075,Lake County,MN,0.00,100.00,93.40,0.00,0.00,0.00,2020-10-27,2020-11-02,1
20201020,27075,Lake County,MN,0.00,100.00,93.40,0.00,0.00,0.00,2020-10-20,2020-10-26,1
20201013,27075,Lake County,MN,0.00,100.00,93.40,0.00,0.00,0.00,2020-10-13,2020-10-19,1
20201006,27075,Lake County,MN,0.00,100.00,93.40,0.00,0.00,0.00,2020-10-06,2020-10-12,1
20200929,27075,Lake County,MN,0.00,100.00,21.41,0.00,0.00,0.00,2020-09-29,2020-10-05,1
20200922,27075,Lake County,MN,13.98,86.02,21.41,0.00,0.00,0.00,2020-09-22,2020-09-28,1
20200915,27075,Lake County,MN,13.98,86.02,21.41,0.00,0.00,0.00,2020-09-15,2020-09-21,1
20200908,27075,Lake County,MN,29.98,70.02,21.41,0.00,0.00,0.00,2020-09-08,2020-09-14,1
20200901,27075,Lake County,MN,29.98,70.02,21.41,0.00,0.00,0.00,2020-09-01,2020-09-07,1
20200825,27075,Lake County,MN,29.98,70.02,21.41,0.00,0.00,0.00,2020-08-25,2020-08-31,1
20200818,27075,Lake County,MN,56.31,43.69,1.56,0.00,0.00,0.00,2020-08-18,2020-08-24,1
20200811,27075,Lake County,MN,56.31,43.69,1.56,0.00,0.00,0.00,2020-08-11,2020-08-17,1
20200804,27075,Lake County,MN,0.00,100.00,1.56,0.00,0.00,0.00,2020-08-04,2020-08-10,1
20200728,27075,Lake County,MN,7.39,92.61,1.56,0.00,0.00,0.00,2020-07-28,2020-08-03,1
