"lagoslakeid","ws_burn_ha","ws_burn_pct"
"414",889.994814566835,0.386551484119294
"27717",139.624839103528,1
"50749",4600.51182775519,0.778807902126772
"15139",102.854141197537,0.00913241399736487
"111800",83.952401555445,0.148298931728865
"39252",28.5351104631033,0.43142690950236
"430",594.139649158736,0.240655320800612
"259",566.625250306186,0.0127183088125919
"97426",2158.74315822165,0.717720435263785
"113774",323.233710298289,0.11372853119015
"61074",6.34877164517708,0.0141362722324034
"34992",0.419217053920846,0.00148859904530929
"76583",6.34877164517708,0.011010996539514
"133329",12.5171720890182,0.0929407310002772
"66295",1667.64518964851,0.4843299615693
"223",965.207322548619,0.124958625048026
"38199",945.09524971803,0.89091357994085
"39247",758.235172606205,0.0625005161948042
"129114",76.2607058061555,0.129693541000632
"73430",101.228620032759,1
"66287",36.2732493544773,0.219768258685831
"51807",392.368711296282,0.97817704540246
"51833",27.4431453618896,0.242564908148795
"52893",7.08588698325384,1
"29814",64.1378672356625,0.0752838140813984
"14101",7.70502024336849,1
"51824",66.1344172154221,0.82476000096444
"93346",23.5771192509845,0.554448187556194
